epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4057,1.3128,2.20112,1.74827,0.60004,0.26861,0.28543,0.15712,2.13471,2.49619,2.50524,0.000472641,0.000472641,0.000472641
2,114.896,1.27215,1.70889,1.7384,0.92842,0.27272,0.2948,0.17394,2.02844,2.30188,2.57274,0.000939579,0.000939579,0.000939579
3,169.557,1.28021,1.64291,1.7432,0.53302,0.22889,0.21027,0.08938,2.16142,2.82829,2.6178,0.00139709,0.00139709,0.00139709
4,223.458,1.28399,1.6208,1.75716,0.93454,0.28362,0.30949,0.17392,2.11382,2.2053,2.53643,0.00138656,0.00138656,0.00138656
5,278.393,1.25173,1.55438,1.72963,0.93922,0.27345,0.30991,0.19007,1.91594,2.22655,2.30859,0.00137241,0.00137241,0.00137241
6,330.762,1.18132,1.466,1.67152,0.96542,0.30265,0.33476,0.25542,1.6428,1.80124,2.12186,0.00135826,0.00135826,0.00135826
7,382.139,1.17108,1.43616,1.65564,0.97842,0.30621,0.339,0.24322,1.70184,1.90075,2.12936,0.00134412,0.00134412,0.00134412
8,434.332,1.15671,1.4217,1.64536,0.33588,0.36138,0.33804,0.22735,1.8185,1.96835,2.22136,0.00132997,0.00132997,0.00132997
9,487.293,1.11993,1.37605,1.62178,0.33164,0.3504,0.34068,0.25406,1.69191,1.8726,2.09905,0.00131582,0.00131582,0.00131582
10,540.789,1.08003,1.34062,1.59665,0.35413,0.38616,0.3604,0.27239,1.55362,1.73398,1.99638,0.00130168,0.00130168,0.00130168
11,594.062,1.08992,1.35275,1.5965,0.41009,0.36704,0.35475,0.28681,1.43961,1.64151,1.88856,0.00128753,0.00128753,0.00128753
12,647.854,1.07988,1.32534,1.5867,0.97364,0.29605,0.341,0.241,1.69878,1.87426,2.09015,0.00127338,0.00127338,0.00127338
13,700.998,1.04588,1.29438,1.56766,0.34882,0.38365,0.35914,0.28782,1.46546,1.66645,1.85541,0.00125923,0.00125923,0.00125923
14,753.35,1.05776,1.28302,1.57357,0.25913,0.35433,0.29387,0.18039,1.74854,2.05065,2.14471,0.00124509,0.00124509,0.00124509
15,805.944,1.03732,1.27946,1.55571,0.35119,0.40171,0.36476,0.26751,1.50591,1.66768,1.86883,0.00123094,0.00123094,0.00123094
16,861.109,1.02227,1.24445,1.54244,0.39898,0.41095,0.36365,0.29471,1.40374,1.60862,1.80129,0.00121679,0.00121679,0.00121679
17,912.394,1.00809,1.23023,1.53278,0.4083,0.40778,0.36073,0.28509,1.42094,1.57766,1.83291,0.00120265,0.00120265,0.00120265
18,963.596,1.02676,1.24334,1.55903,0.35859,0.39123,0.3574,0.28193,1.53951,1.82694,1.96641,0.0011885,0.0011885,0.0011885
19,1014.16,1.00788,1.23053,1.53327,0.37187,0.41411,0.35917,0.28675,1.41196,1.65034,1.79081,0.00117435,0.00117435,0.00117435
20,1065.09,1.00528,1.23394,1.52896,0.42332,0.42147,0.36383,0.28945,1.41266,1.58979,1.82331,0.00116021,0.00116021,0.00116021
21,1120.72,1.00417,1.21884,1.51881,0.39753,0.41446,0.36391,0.29398,1.40566,1.55196,1.81574,0.00114606,0.00114606,0.00114606
22,1176.48,0.97824,1.19385,1.50375,0.4264,0.43255,0.38008,0.292,1.45336,1.60537,1.83547,0.00113191,0.00113191,0.00113191
23,1227.15,0.98632,1.19448,1.5053,0.40371,0.43154,0.37117,0.29346,1.38521,1.58035,1.7716,0.00111776,0.00111776,0.00111776
24,1278.09,0.96003,1.18439,1.49134,0.43503,0.42846,0.37554,0.2939,1.41732,1.49677,1.81802,0.00110362,0.00110362,0.00110362
25,1329.31,0.95503,1.17665,1.49059,0.38231,0.41018,0.35186,0.28054,1.38041,1.59045,1.76656,0.00108947,0.00108947,0.00108947
26,1380.8,0.9633,1.17058,1.4994,0.41673,0.41855,0.38274,0.30489,1.34055,1.51071,1.72138,0.00107532,0.00107532,0.00107532
27,1432.22,0.96698,1.16652,1.49601,0.46993,0.43853,0.39451,0.31191,1.3259,1.4124,1.70746,0.00106118,0.00106118,0.00106118
28,1486.55,0.9616,1.17077,1.49626,0.42055,0.42766,0.37939,0.3071,1.32167,1.47138,1.71111,0.00104703,0.00104703,0.00104703
29,1543.71,0.95333,1.16318,1.48615,0.43823,0.44572,0.38054,0.31115,1.30001,1.40852,1.693,0.00103288,0.00103288,0.00103288
30,1601.5,0.94557,1.14638,1.4816,0.4123,0.43831,0.37265,0.30974,1.25961,1.38576,1.64592,0.00101873,0.00101873,0.00101873
31,1666.48,0.93429,1.13955,1.47542,0.38785,0.42081,0.37011,0.29595,1.41984,1.62146,1.80614,0.00100459,0.00100459,0.00100459
32,1730.14,0.932,1.1268,1.47131,0.41467,0.4497,0.372,0.30475,1.29367,1.43077,1.68088,0.00099044,0.00099044,0.00099044
33,1801.15,0.93007,1.12269,1.4684,0.41934,0.44483,0.381,0.30749,1.29938,1.41787,1.70125,0.000976293,0.000976293,0.000976293
34,1880.92,0.92774,1.11783,1.46929,0.43838,0.46172,0.38279,0.31616,1.29552,1.38332,1.68779,0.000962146,0.000962146,0.000962146
35,1953.23,0.91328,1.10926,1.45693,0.42867,0.43213,0.38026,0.31199,1.26154,1.44852,1.62978,0.000947999,0.000947999,0.000947999
36,2022.86,0.90389,1.10245,1.45194,0.46104,0.45255,0.38305,0.3111,1.28513,1.42009,1.65452,0.000933851,0.000933851,0.000933851
37,2091.68,0.92352,1.10085,1.45609,0.45672,0.46031,0.3929,0.31903,1.2393,1.3694,1.63253,0.000919704,0.000919704,0.000919704
38,2153.05,0.91351,1.09391,1.45384,0.43848,0.43975,0.38635,0.31636,1.25738,1.42045,1.637,0.000905557,0.000905557,0.000905557
39,2211.04,0.8985,1.0899,1.44616,0.4235,0.43772,0.39167,0.31057,1.32232,1.46015,1.71041,0.00089141,0.00089141,0.00089141
40,2269.33,0.88934,1.07839,1.44116,0.42364,0.4441,0.38285,0.3031,1.3093,1.46056,1.6954,0.000877263,0.000877263,0.000877263
41,2326.45,0.8881,1.0747,1.42834,0.45311,0.44702,0.38916,0.31704,1.25445,1.38977,1.62605,0.000863116,0.000863116,0.000863116
